@relation R_data_frame

@attribute Year numeric
@attribute Month numeric
@attribute DayofMonth numeric
@attribute DayOfWeek numeric
@attribute UniqueCarrier {9E,AA,CO,DL,EV,F9,FL,MQ,NW,OH,OO,UA,US,XE,YV}
@attribute CRSArrTime numeric
@attribute CRSDepTime numeric
@attribute CRSElapsedTime numeric
@attribute Origin {ABE,ABQ,ABY,ACY,AEX,AGS,ALB,ATW,AUS,AVL,AVP,BDL,BGR,BHM,BMI,BNA,BOS,BQK,BTR,BTV,BUF,BWI,BZN,CAE,CAK,CHA,CHO,CHS,CID,CLE,CLT,CMH,COS,CRP,CRW,CSG,CVG,DAB,DAY,DCA,DEN,DFW,DHN,DSM,DTW,EGE,ELP,EVV,EWN,EWR,EYW,FAY,FLL,FLO,FNT,FSD,FSM,FWA,GNV,GPT,GRB,GRK,GRR,GSO,GSP,GTR,HDN,HHH,HNL,HOU,HPN,HSV,IAD,IAH,ICT,ILM,IND,ISP,JAC,JAN,JAX,JFK,LAS,LAX,LEX,LFT,LGA,LIT,LYH,MCI,MCN,MCO,MDT,MDW,MEI,MEM,MFE,MGM,MHT,MIA,MKE,MLB,MLI,MLU,MOB,MSN,MSP,MSY,MTJ,MYR,OAJ,OAK,OKC,OMA,ONT,ORD,ORF,PBI,PDX,PFN,PHF,PHL,PHX,PIA,PIT,PNS,PVD,PWM,RDU,RIC,RNO,ROA,ROC,RSW,SAN,SAT,SAV,SBN,SCE,SDF,SEA,SFO,SGF,SHV,SJC,SJU,SLC,SMF,SNA,SRQ,STL,STT,STX,SWF,SYR,TLH,TOL,TPA,TRI,TUL,TUP,TUS,TYS,VLD,VPS,XNA}
@attribute Distance numeric
@attribute ValueToPredict {before_time,delayed,on_time}
@attribute instanceId numeric
@attribute timeStamp numeric

@data
2008,1,1,2,DL,859,600,119,IAH,689,?,115,1860
2008,1,1,2,DL,845,705,100,TPA,406,?,116,1865
2008,1,1,2,DL,843,705,98,MLB,443,?,117,1865
2008,1,1,2,DL,814,705,69,SAV,215,?,118,1865
2008,1,1,2,FL,930,606,144,MSP,906,?,119,1866
2008,1,1,2,NW,928,709,139,DTW,594,?,120,1869
2008,1,1,2,EV,915,710,125,ORF,516,?,121,1870
2008,1,1,2,EV,838,710,88,GSO,306,?,122,1870
2008,1,1,2,FL,822,610,72,MEM,332,?,123,1870
2008,1,1,2,FL,840,610,90,STL,483,?,124,1870
2008,1,1,2,DL,835,710,85,SDF,321,?,125,1870
2008,1,1,2,DL,944,710,154,EWR,745,?,126,1870
2008,1,1,2,DL,846,710,96,RDU,356,?,127,1870
2008,1,1,2,DL,848,710,98,MCO,403,?,128,1870
2008,1,1,2,EV,718,600,78,SDF,321,on_time,34,1872
2008,1,1,2,FL,727,600,87,MCO,403,before_time,43,1873
2008,1,1,2,EV,910,715,115,CAK,528,?,129,1875
2008,1,1,2,EV,813,715,58,GSP,153,?,130,1875
2008,1,1,2,FL,837,615,82,MSY,425,?,131,1875
2008,1,1,2,DL,1018,715,183,BOS,946,?,132,1875
2008,1,1,2,DL,850,715,95,CMH,446,?,133,1875
2008,1,1,2,DL,911,715,116,PHF,508,?,134,1875
2008,1,1,2,DL,914,715,119,CLE,554,?,135,1875
2008,1,1,2,DL,914,715,119,PIT,526,?,136,1875
2008,1,1,2,DL,836,715,81,CLT,227,?,137,1875
2008,1,1,2,DL,904,715,109,RIC,481,?,138,1875
2008,1,1,2,DL,941,715,146,PHL,665,?,139,1875
2008,1,1,2,DL,724,600,84,RDU,356,on_time,54,1876
2008,1,1,2,FL,730,540,110,FLL,581,before_time,28,1877
2008,1,1,2,FL,729,600,89,TPA,406,before_time,45,1877
2008,1,1,2,FL,717,610,67,CLT,227,on_time,58,1877
2008,1,1,2,FL,729,620,69,JAX,270,on_time,67,1879
2008,1,1,2,EV,916,720,116,SCE,615,?,140,1880
2008,1,1,2,FL,828,620,68,PNS,272,?,141,1880
2008,1,1,2,DL,858,720,98,CVG,373,?,142,1880
2008,1,1,2,DL,910,720,110,RSW,515,?,143,1880
2008,1,1,2,DL,836,720,76,CHS,259,?,144,1880
2008,1,1,2,FL,725,605,80,RDU,356,on_time,55,1883
2008,1,1,2,EV,1008,725,163,ALB,852,?,145,1885
2008,1,1,2,AA,925,625,120,DFW,732,?,146,1885
2008,1,1,2,EV,747,700,47,MCN,79,before_time,101,1888
2008,1,1,2,DL,748,610,98,SRQ,445,before_time,62,1889
2008,1,1,2,EV,1039,730,189,PVD,903,?,147,1890
2008,1,1,2,EV,906,730,96,GNV,300,?,148,1890
2008,1,1,2,EV,834,630,64,MEI,267,?,149,1890
2008,1,1,2,CO,1011,730,161,EWR,745,?,150,1890
2008,1,1,2,DL,834,730,64,TYS,152,?,151,1890
2008,1,1,2,DL,856,730,86,DAB,366,?,152,1890
2008,1,1,2,OH,734,610,84,LEX,303,on_time,60,1890
2008,1,1,2,FL,730,550,100,CAK,528,on_time,30,1892
2008,1,1,2,DL,657,2350,247,LAX,1946,delayed,22,1894
2008,1,1,2,FL,730,544,106,PHF,508,on_time,29,1894
2008,1,1,2,FL,730,555,95,DAY,432,on_time,31,1894
2008,1,1,2,US,729,2359,270,LAS,1747,on_time,24,1895
2008,1,1,2,FL,730,600,90,IND,432,on_time,41,1895
2008,1,1,2,EV,740,615,85,ROA,357,on_time,63,1895
2008,1,1,2,DL,753,600,113,MIA,595,before_time,47,1897
2008,1,1,2,DL,909,740,89,LEX,303,?,153,1900
2008,1,1,2,DL,750,600,50,BHM,134,on_time,110,1903
2008,1,1,2,OO,954,745,129,BUF,712,?,154,1905
2008,1,1,2,DL,854,745,69,CAE,191,?,155,1905
2008,1,1,2,EV,754,600,54,DHN,171,on_time,88,1906
2008,1,1,2,DL,746,600,106,RIC,481,on_time,52,1907
2008,1,1,2,DL,748,600,108,FLL,581,on_time,48,1908
2008,1,1,2,EV,759,600,59,PFN,247,on_time,96,1909
2008,1,1,2,EV,1002,650,132,GRK,803,?,156,1910
2008,1,1,2,EV,807,630,97,OAJ,399,before_time,69,1910
2008,1,1,2,EV,812,600,72,BNA,214,before_time,89,1910
2008,1,1,2,DL,758,600,118,IAD,533,on_time,50,1913
2008,1,1,2,DL,953,755,118,DCA,547,?,157,1915
2008,1,1,2,DL,1039,759,160,LGA,761,?,158,1919
2008,1,1,2,DL,803,55,248,LAX,1946,on_time,26,1919
2008,1,1,2,EV,820,600,80,GPT,352,before_time,92,1919
2008,1,1,2,EV,1018,700,138,ATW,765,?,159,1920
2008,1,1,2,EV,902,700,62,MGM,147,?,160,1920
2008,1,1,2,EV,906,700,66,TUP,253,?,161,1920
2008,1,1,2,EV,957,800,117,MYR,317,?,162,1920
2008,1,1,2,EV,907,700,67,VPS,264,?,163,1920
2008,1,1,2,FL,1001,700,121,DFW,732,?,164,1920
2008,1,1,2,FL,1001,700,121,ICT,781,?,165,1920
2008,1,1,2,FL,955,700,115,MCI,692,?,166,1920
2008,1,1,2,FL,931,800,91,MCO,403,?,167,1920
2008,1,1,2,FL,954,800,114,MIA,595,?,168,1920
2008,1,1,2,FL,947,800,107,PBI,545,?,169,1920
2008,1,1,2,FL,1015,800,135,PHL,665,?,170,1920
2008,1,1,2,DL,1009,800,129,DTW,594,?,171,1920
2008,1,1,2,DL,1048,600,168,DEN,1199,?,172,1920
2008,1,1,2,DL,915,700,75,PNS,272,?,173,1920
2008,1,1,2,DL,1000,800,120,FLL,581,?,174,1920
2008,1,1,2,DL,917,800,77,JAX,270,?,175,1920
2008,1,1,2,DL,939,800,99,SRQ,445,?,176,1920
2008,1,1,2,EV,813,715,58,GSP,153,before_time,130,1922
2008,1,1,2,DL,820,700,80,JAX,270,before_time,109,1923
2008,1,1,2,DL,814,705,69,SAV,215,before_time,118,1923
2008,1,1,2,EV,804,600,124,MDT,619,on_time,33,1924
2008,1,1,2,DL,1044,805,159,EWR,745,?,177,1925
2008,1,1,2,DL,941,805,96,TPA,406,?,178,1925
2008,1,1,2,DL,922,705,77,JAN,341,?,179,1925
2008,1,1,2,EV,751,600,111,PIT,526,delayed,36,1925
2008,1,1,2,DL,826,600,86,MSY,425,before_time,113,1926
2008,1,1,2,NW,1048,710,158,MSP,906,?,180,1930
2008,1,1,2,DL,1013,810,123,BWI,576,?,181,1930
2008,1,1,2,DL,1009,710,119,MCI,692,?,182,1930
2008,1,1,2,DL,912,710,62,HSV,151,?,183,1930
2008,1,1,2,DL,1020,710,130,DFW,732,?,184,1930
2008,1,1,2,EV,829,600,89,BTR,449,before_time,90,1930
2008,1,1,2,FL,821,640,101,RIC,481,on_time,78,1934
2008,1,1,2,FL,822,610,72,MEM,332,on_time,123,1934
2008,1,1,2,EV,1016,715,121,ICT,781,?,185,1935
2008,1,1,2,FL,1005,815,110,FLL,581,?,186,1935
2008,1,1,2,AA,1015,815,120,MIA,595,?,187,1935
2008,1,1,2,DL,923,715,68,BNA,214,?,188,1935
2008,1,1,2,DL,1014,815,119,ORF,516,?,189,1935
2008,1,1,2,DL,949,715,94,STL,483,?,190,1935
2008,1,1,2,DL,1107,615,172,ABQ,1269,?,191,1935
2008,1,1,2,DL,1014,715,119,IAH,689,?,192,1935
2008,1,1,2,DL,1014,715,119,MKE,669,?,193,1935
2008,1,1,2,DL,836,715,81,CLT,227,before_time,137,1938
2008,1,1,2,FL,840,545,115,HOU,696,before_time,81,1939
2008,1,1,2,EV,833,600,93,LIT,453,before_time,100,1939
2008,1,1,2,FL,828,620,68,PNS,272,on_time,141,1939
2008,1,1,2,DL,834,730,64,TYS,152,before_time,151,1939
2008,1,1,2,EV,1028,720,128,OKC,761,?,194,1940
2008,1,1,2,EV,950,720,90,BTR,449,?,195,1940
2008,1,1,2,DL,1130,820,190,BOS,946,?,196,1940
2008,1,1,2,DL,945,720,85,MSY,425,?,197,1940
2008,1,1,2,DL,822,600,142,PHL,665,on_time,46,1940
2008,1,1,2,DL,930,823,67,SAV,215,?,198,1943
2008,1,1,2,FL,840,540,120,DFW,732,before_time,75,1944
2008,1,1,2,FL,827,640,107,IAD,533,on_time,76,1944
2008,1,1,2,EV,1022,725,117,HOU,696,?,199,1945
2008,1,1,2,FL,1011,725,106,MDW,590,?,200,1945
2008,1,1,2,DL,1028,825,123,MIA,595,?,201,1945
2008,1,1,2,DL,1016,825,111,PBI,545,?,202,1945
2008,1,1,2,FL,830,600,150,LGA,761,on_time,42,1945
2008,1,1,2,FL,829,700,89,TPA,406,on_time,105,1945
2008,1,1,2,EV,838,710,88,GSO,306,before_time,122,1946
2008,1,1,2,DL,848,710,98,MCO,403,before_time,128,1946
2008,1,1,2,EV,834,630,64,MEI,267,on_time,149,1947
2008,1,1,2,DL,835,710,85,SDF,321,on_time,125,1948
2008,1,1,2,OO,1122,630,172,COS,1185,?,203,1950
2008,1,1,2,FL,1114,830,164,BOS,946,?,204,1950
2008,1,1,2,CO,1111,830,161,EWR,745,?,205,1950
2008,1,1,2,DL,1231,930,241,SJU,1547,?,206,1950
2008,1,1,2,DL,1055,830,145,PHL,665,?,207,1950
2008,1,1,2,DL,1202,630,212,SLC,1589,?,208,1950
2008,1,1,2,FL,829,540,109,MLI,633,on_time,77,1950
2008,1,1,2,DL,843,705,98,MLB,443,before_time,117,1950
2008,1,1,2,FL,835,645,110,FLL,581,on_time,80,1951
2008,1,1,2,FL,837,615,82,MSY,425,on_time,131,1951
2008,1,1,2,DL,836,720,76,CHS,259,on_time,144,1952
2008,1,1,2,FL,832,640,112,BWI,576,on_time,74,1953
2008,1,1,2,DL,844,1900,524,HNL,4502,on_time,4,1954
2008,1,1,2,FL,827,645,102,PIT,526,on_time,83,1954
2008,1,1,2,EV,848,600,108,SHV,552,before_time,99,1954
2008,1,1,2,OO,825,600,85,MEM,332,on_time,87,1955
2008,1,1,2,DL,845,705,100,TPA,406,on_time,116,1956
2008,1,1,2,FL,840,610,90,STL,483,on_time,124,1956
2008,1,1,2,YV,1035,837,118,IAD,533,?,209,1957
2008,1,1,2,FL,830,545,105,MDW,590,on_time,82,1957
2008,1,1,2,OH,731,610,81,GSO,306,delayed,61,1958
2008,1,1,2,FL,818,600,138,EWR,745,delayed,39,1959
2008,1,1,2,FL,839,600,99,BMI,533,on_time,102,1959
2008,1,1,2,DL,856,730,86,DAB,366,before_time,152,1959
2008,1,1,2,EV,1052,740,132,OMA,821,?,210,1960
2008,1,1,2,FL,1014,840,94,SRQ,445,?,211,1960
2008,1,1,2,DL,1132,640,172,ELP,1282,?,212,1960
2008,1,1,2,DL,1202,640,202,TUS,1541,?,213,1960
2008,1,1,2,DL,956,840,76,CHS,259,?,214,1960
2008,1,1,2,FL,821,600,141,HPN,780,delayed,40,1960
2008,1,1,2,DL,853,700,113,PBI,545,before_time,111,1961
2008,1,1,2,EV,902,700,62,MGM,147,before_time,160,1961
2008,1,1,2,FL,729,525,124,FNT,644,delayed,27,1963
2008,1,1,2,EV,857,545,132,SAT,874,before_time,79,1964
2008,1,1,2,DL,1000,745,75,MOB,302,?,215,1965
2008,1,1,2,FL,821,610,131,ROC,749,delayed,59,1965
2008,1,1,2,EV,849,600,109,PIA,564,on_time,93,1965
2008,1,1,2,EV,843,600,103,XNA,589,on_time,94,1966
2008,1,1,2,EV,853,600,113,TUL,674,on_time,97,1966
2008,1,1,2,FL,827,700,87,MCO,403,delayed,103,1967
2008,1,1,2,DL,854,745,69,CAE,191,on_time,155,1967
2008,1,1,2,DL,859,600,119,IAH,689,before_time,115,1968
2008,1,1,2,DL,915,700,75,PNS,272,before_time,173,1968
2008,1,1,2,DL,1140,850,170,JFK,760,?,216,1970
2008,1,1,2,DL,850,715,95,CMH,446,on_time,133,1970
2008,1,1,2,EV,906,700,66,TUP,253,before_time,161,1970
2008,1,1,2,FL,832,630,122,PHL,665,delayed,71,1971
2008,1,1,2,EV,907,700,67,VPS,264,before_time,163,1972
2008,1,1,2,DL,858,720,98,CVG,373,on_time,142,1973
2008,1,1,2,EV,906,730,96,GNV,300,before_time,148,1973
2008,1,1,2,DL,845,600,165,BDL,859,on_time,49,1975
2008,1,1,2,DL,910,720,110,RSW,515,before_time,143,1977
2008,1,1,2,DL,904,715,109,RIC,481,on_time,138,1978
2008,1,1,2,DL,909,740,89,LEX,303,before_time,153,1978
2008,1,1,2,EV,1014,800,74,VPS,264,?,217,1980
2008,1,1,2,EV,957,900,57,MCN,79,?,218,1980
2008,1,1,2,FL,1035,900,95,DAY,432,?,219,1980
2008,1,1,2,FL,1152,700,172,DEN,1199,?,220,1980
2008,1,1,2,FL,1028,900,88,MCO,403,?,221,1980
2008,1,1,2,DL,1147,900,167,LGA,761,?,222,1980
2008,1,1,2,DL,1336,600,276,SEA,2182,?,223,1980
2008,1,1,2,OO,910,600,130,MKE,669,on_time,86,1980
2008,1,1,2,EV,915,710,125,ORF,516,before_time,121,1980
2008,1,1,2,FL,819,600,139,SWF,784,delayed,44,1982
2008,1,1,2,AA,925,625,120,DFW,732,before_time,146,1983
2008,1,1,2,OH,844,700,104,DAY,432,delayed,106,1984
2008,1,1,2,DL,903,700,123,DCA,547,on_time,107,1984
2008,1,1,2,DL,846,710,96,RDU,356,delayed,127,1984
2008,1,1,2,AA,1150,905,165,LGA,761,?,224,1985
2008,1,1,2,DL,1101,905,116,FLL,581,?,225,1985
2008,1,1,2,EV,841,600,161,EWR,745,delayed,35,1985
2008,1,1,2,EV,916,600,136,DSM,743,on_time,95,1989
2008,1,1,2,EV,1032,810,82,MEM,332,?,226,1990
2008,1,1,2,DL,1138,810,148,MSP,906,?,227,1990
2008,1,1,2,DL,1040,910,90,TPA,406,?,228,1990
2008,1,1,2,DL,1324,610,254,LAX,1946,?,229,1990
2008,1,1,2,DL,1121,810,131,SAT,874,?,230,1990
2008,1,1,2,DL,1046,910,96,CVG,373,?,231,1990
2008,1,1,2,FL,825,620,125,BUF,712,delayed,66,1990
2008,1,1,2,DL,903,700,123,FLL,581,on_time,112,1990
2008,1,1,2,EV,859,600,119,MLI,633,delayed,91,1993
2008,1,1,2,DL,917,800,77,JAX,270,on_time,175,1993
2008,1,1,2,DL,817,600,137,ROC,749,delayed,53,1994
2008,1,1,2,EV,1016,815,61,MGM,147,?,232,1995
2008,1,1,2,FL,858,600,118,MKE,669,delayed,104,1995
2008,1,1,2,DL,914,715,119,PIT,526,on_time,136,1995
2008,1,1,2,DL,922,705,77,JAN,341,on_time,179,1995
2008,1,1,2,OH,908,605,183,MHT,952,on_time,56,1997
2008,1,1,2,FL,827,630,117,DTW,594,delayed,70,1998
2008,1,1,2,EV,900,630,150,SYR,793,delayed,68,1999
2008,1,1,2,DL,911,715,116,PHF,508,on_time,134,1999
2008,1,1,2,YV,1045,920,85,CLT,227,?,233,2000
2008,1,1,2,EV,1047,820,87,BTR,449,?,234,2000
2008,1,1,2,DL,1354,620,274,SFO,2139,?,235,2000
2008,1,1,2,DL,912,710,62,HSV,151,on_time,183,2000
2008,1,1,2,DL,923,715,68,BNA,214,on_time,188,2002
2008,1,1,2,DL,930,823,67,SAV,215,on_time,198,2004
2008,1,1,2,EV,1118,925,113,CLE,554,?,236,2005
2008,1,1,2,DL,1117,925,112,IAD,533,?,237,2005
