@relation R_data_frame

@attribute salary numeric
@attribute commission numeric
@attribute age numeric
@attribute elevel {level0,level1,level2,level3,level4}
@attribute car {car1,car2,car3,car4,car5,car6,car7,car8,car9,car10,car11,car12,car13,car14,car15,car16,car17,car18,car19,car20}
@attribute zipcode {zipcode1,zipcode2,zipcode3,zipcode4,zipcode5,zipcode6,zipcode7,zipcode8,zipcode9}
@attribute hvalue numeric
@attribute hyears numeric
@attribute loan numeric
@attribute class {groupA,groupB}
@attribute instanceId numeric
@attribute timeStamp numeric

@data
35640.041611,71087.291225,57,level3,car10,zipcode9,59892.824467,26,91722.424343,?,20,20
100868.906606,0,39,level0,car5,zipcode3,135000,21,300078.362616,?,21,21
98780.080678,0,77,level1,car12,zipcode7,135000,30,139597.953701,?,22,22
140685.819734,0,73,level2,car8,zipcode2,135000,6,185189.308756,?,23,23
109305.195424,0,31,level2,car17,zipcode1,135000,20,166310.237898,?,24,24
117212.378274,0,30,level3,car6,zipcode8,121933.939069,17,260175.806958,?,25,25
41430.318614,32585.778723,53,level2,car10,zipcode6,135000,12,7023.300616,?,26,26
56118.046437,27368.070182,69,level4,car2,zipcode9,135000,22,41596.720909,?,27,27
79203.784486,0,75,level2,car4,zipcode1,135000,21,461032.093887,?,28,28
136189.431676,0,56,level0,car12,zipcode7,135000,11,152598.131056,?,29,29
67249.514591,43940.470131,30,level2,car11,zipcode7,135000,17,455241.077612,?,30,30
22854.242095,66152.441552,72,level2,car6,zipcode2,135000,20,321523.487845,?,31,31
30211.410747,19896.923048,41,level0,car19,zipcode5,135000,11,481293.521302,?,32,32
116690.5653,0,50,level2,car10,zipcode2,135000,29,199885.563089,?,33,33
94375.877188,0,27,level3,car18,zipcode5,135000,27,403469.110046,?,34,34
91129.126405,0,75,level3,car10,zipcode7,135000,26,328625.350955,?,35,35
94446.248902,0,67,level3,car8,zipcode6,135000,30,352264.61212,?,36,36
83858.104065,0,20,level4,car5,zipcode9,69625.920605,9,51211.422276,?,37,37
49898.098069,73661.130275,72,level4,car12,zipcode7,135000,23,484565.214568,?,38,38
27323.5208,25669.242527,30,level0,car17,zipcode9,109207.420491,27,233145.852114,?,39,39
73249.479433,0,27,level0,car2,zipcode2,135000,24,49875.729973,?,40,40
40408.259885,40203.873273,54,level2,car14,zipcode1,135000,24,437909.355184,?,41,41
48225.183789,68253.62544,25,level4,car6,zipcode4,135000,23,179703.201598,?,42,42
45520.009723,39546.357372,33,level1,car14,zipcode3,135000,13,138640.219928,?,43,43
30372.275651,16722.784451,80,level0,car5,zipcode4,135000,10,481605.899589,?,44,44
33167.375416,65126.594875,26,level1,car18,zipcode7,135000,3,475809.177725,?,45,45
55260.32748,43367.829155,59,level2,car7,zipcode7,135000,3,450971.85206,?,46,46
100862.506577,0,77,level3,car14,zipcode8,135000,26,135444.830643,?,47,47
33926.486216,10685.457415,42,level1,car15,zipcode6,135000,20,338957.791218,?,48,48
34547.10556,18927.6536,69,level4,car15,zipcode9,112877.22464,24,178745.328735,?,49,49
50400.921572,74293.580058,46,level2,car11,zipcode6,135000,27,155881.157313,?,50,50
36771.824829,30038.657646,66,level0,car15,zipcode4,135000,2,285592.904387,?,51,51
57293.900474,57086.308413,61,level3,car2,zipcode8,135000,12,254309.369163,?,52,52
103162.115537,0,22,level0,car11,zipcode7,135000,29,20154.04327,?,53,53
84321.913336,0,40,level4,car7,zipcode8,134340.582533,21,240352.357467,?,54,54
44978.930983,10000,51,level3,car8,zipcode3,135000,19,30226.273177,?,55,55
33261.041895,34163.414676,74,level1,car2,zipcode3,135000,13,441965.517776,?,56,56
138174.401951,0,24,level1,car19,zipcode8,135000,27,34065.705388,?,57,57
146356.942509,0,74,level2,car10,zipcode6,135000,10,344798.66712,?,58,58
99339.798602,0,34,level0,car9,zipcode3,135000,26,6024.31096,?,59,59
71182.202659,28095.067203,63,level0,car6,zipcode6,135000,7,66611.494862,?,60,60
71550.590603,59565.060119,31,level1,car14,zipcode1,135000,3,160777.243219,?,61,61
86560.868083,0,55,level3,car8,zipcode8,135000,9,381447.693118,?,62,62
95906.640614,0,44,level3,car16,zipcode5,135000,10,470045.167022,?,63,63
79439.635801,0,27,level4,car6,zipcode8,135000,5,464938.983734,?,64,64
39651.737212,27572.876496,76,level1,car5,zipcode7,135000,7,327289.409485,?,65,65
41118.998133,60104.559122,25,level4,car6,zipcode2,135000,11,90189.798175,?,66,66
93839.265422,0,70,level2,car9,zipcode4,135000,30,332445.965936,?,67,67
113076.807916,0,45,level3,car16,zipcode2,135000,27,365643.433155,?,68,68
32036.685122,72727.649863,25,level3,car4,zipcode4,135000,24,74054.9112,?,69,69
20000,51104.51422,68,level0,car3,zipcode1,135000,13,213894.258398,?,70,70
39392.146354,75000,30,level2,car8,zipcode3,135000,15,266690.895244,?,71,71
112852.719151,0,48,level4,car14,zipcode9,86347.275658,14,407602.740295,?,72,72
38512.896031,15409.263797,48,level1,car10,zipcode4,135000,19,0,?,73,73
44428.605582,54226.153236,32,level3,car10,zipcode9,100494.532886,29,192674.524906,?,74,74
126738.697564,0,28,level2,car20,zipcode9,108739.17293,7,149647.004011,?,75,75
136683.377468,0,24,level1,car8,zipcode5,135000,27,212461.551561,?,76,76
53883.25098,27872.783705,54,level4,car11,zipcode6,135000,10,89236.34933,?,77,77
133290.500508,0,72,level1,car9,zipcode4,135000,19,478544.755812,?,78,78
123095.005976,0,53,level4,car18,zipcode1,135000,27,205545.717,?,79,79
41013.26647,65925.12099,77,level4,car3,zipcode2,135000,19,246458.974062,?,80,80
39800.441222,48711.702065,63,level0,car3,zipcode1,135000,3,147013.568147,?,81,81
53983.934863,31163.676578,29,level3,car4,zipcode8,135000,30,237006.252412,?,82,82
54807.826346,62457.764517,47,level4,car16,zipcode6,135000,29,348471.24407,?,83,83
140563.973068,0,45,level2,car16,zipcode8,135000,4,343021.382218,?,84,84
123345.482491,0,63,level1,car19,zipcode4,135000,19,141085.040923,?,85,85
74953.433254,0,63,level2,car4,zipcode1,135000,1,270405.039174,?,86,86
23157.496764,66802.862654,73,level0,car9,zipcode1,135000,1,104250.346259,?,87,87
142358.256798,0,35,level3,car14,zipcode4,135000,13,248291.258397,?,88,88
119209.327991,0,76,level3,car11,zipcode4,135000,12,35347.597557,?,89,89
122807.943841,0,62,level0,car6,zipcode9,98378.229582,8,172104.290958,?,90,90
48938.460705,23739.747112,65,level1,car8,zipcode7,135000,22,431340.422956,?,91,91
20000,33626.086883,30,level2,car2,zipcode7,135000,28,218843.650983,?,92,92
76509.601725,63881.842964,48,level1,car14,zipcode3,135000,15,337054.162196,?,93,93
20000,41533.130281,51,level4,car3,zipcode1,135000,2,470921.412413,?,94,94
64910.683962,17983.580771,47,level3,car12,zipcode3,135000,13,256440.259935,?,95,95
38812.226759,56132.299482,75,level1,car18,zipcode7,135000,24,310480.022729,?,96,96
69277.560943,43040.303323,20,level2,car1,zipcode5,135000,25,93838.186294,?,97,97
141497.92478,0,65,level2,car12,zipcode2,135000,3,406525.656945,?,98,98
140088.83117,0,64,level4,car4,zipcode9,135000,7,281727.27772,?,99,99
34934.230665,69994.331354,46,level1,car10,zipcode2,135000,26,461915.602277,?,100,100
69474.530533,20167.010789,69,level4,car17,zipcode5,135000,17,387894.214174,?,101,101
29272.234372,57041.511608,48,level1,car15,zipcode3,135000,26,436948.452485,?,102,102
64788.448728,34153.816708,79,level4,car5,zipcode2,135000,13,77918.102452,?,103,103
135639.879102,0,27,level4,car19,zipcode7,135000,2,19186.176339,?,104,104
105017.635671,0,78,level0,car8,zipcode1,135000,24,60901.154429,?,105,105
30651.278283,44825.577036,70,level3,car4,zipcode7,135000,21,274973.340477,?,106,106
124914.892715,0,20,level3,car14,zipcode1,135000,30,422490.715107,?,107,107
51554.603401,46669.131951,43,level1,car6,zipcode9,76038.451045,29,403873.206825,?,108,108
41756.585863,53099.382558,30,level0,car9,zipcode9,55950.037663,26,261237.011886,?,109,109
40777.177653,15349.017705,24,level3,car18,zipcode3,135000,29,389602.491329,?,110,110
22852.183547,63649.39264,20,level3,car19,zipcode4,135000,20,471134.001649,?,111,111
46972.721772,21508.292093,58,level4,car1,zipcode4,135000,6,202696.61481,?,112,112
81360.094718,0,57,level2,car1,zipcode6,135000,10,464026.010633,?,113,113
118399.673497,0,52,level3,car2,zipcode3,135000,16,349837.501935,?,114,114
97797.996137,0,51,level1,car17,zipcode1,135000,14,322701.685683,?,115,115
34013.230303,38244.757619,37,level4,car2,zipcode8,104974.930452,15,35509.867163,?,116,116
39825.375985,64632.657855,67,level0,car8,zipcode5,135000,5,449697.251442,?,117,117
42887.811822,46024.894513,68,level0,car8,zipcode6,135000,19,311664.922325,?,118,118
136958.055157,0,62,level3,car1,zipcode3,135000,1,471262.042169,?,119,119
73966.944053,28704.233454,28,level1,car4,zipcode7,135000,11,427243.056401,?,120,120
58996.455334,70073.29654,43,level2,car9,zipcode5,135000,5,327786.818262,?,121,121
147256.228351,0,54,level0,car7,zipcode2,135000,7,494074.745047,?,122,122
137604.473158,0,80,level2,car17,zipcode2,135000,12,129093.431017,?,123,123
67246.297282,39001.987729,70,level1,car7,zipcode5,135000,2,241223.867447,?,124,124
111248.535111,0,53,level1,car18,zipcode5,135000,17,464879.924638,?,125,125
138762.619268,0,27,level3,car18,zipcode8,135000,19,270868.145377,?,126,126
130104.215699,0,57,level0,car3,zipcode1,135000,22,0,?,127,127
66419.402244,71728.30907,70,level1,car1,zipcode7,135000,12,430196.545428,?,128,128
105905.171748,0,78,level1,car14,zipcode5,135000,2,221805.027165,?,129,129
66718.685917,39538.498514,22,level3,car3,zipcode1,135000,29,359392.594981,?,130,130
105371.376509,0,28,level0,car17,zipcode4,135000,13,118819.024404,?,131,131
150000,0,20,level3,car8,zipcode2,135000,10,52783.801205,?,132,132
78824.046643,0,70,level1,car13,zipcode7,135000,28,36615.608335,?,133,133
104203.665316,0,20,level0,car5,zipcode5,135000,9,472282.726946,?,134,134
81031.090904,0,20,level3,car7,zipcode9,69054.647511,3,281226.604312,?,135,135
35394.282205,48425.790193,26,level1,car18,zipcode5,135000,4,461495.780589,?,136,136
93010.350308,0,44,level4,car14,zipcode9,100031.323334,10,500000,?,137,137
89977.24698,0,29,level2,car13,zipcode8,135000,15,119006.379616,?,138,138
71357.389746,35901.364038,62,level0,car18,zipcode4,135000,21,413141.140078,?,139,139
86564.447957,0,33,level2,car9,zipcode6,135000,22,477016.950967,?,140,140
141029.819093,0,22,level2,car10,zipcode9,117850.377875,26,166924.908241,?,141,141
104962.641634,0,45,level4,car10,zipcode2,135000,17,344391.501987,?,142,142
91708.123346,0,50,level3,car11,zipcode9,121007.896137,7,446718.263022,?,143,143
79017.634267,0,24,level1,car11,zipcode2,135000,27,182439.1782,?,144,144
126987.435547,0,77,level3,car10,zipcode9,96672.282608,16,276517.612357,?,145,145
50959.117756,30872.912482,69,level2,car11,zipcode5,135000,14,158345.534772,?,146,146
97361.541187,0,52,level2,car2,zipcode2,135000,15,472890.196322,?,147,147
57871.069156,72104.896905,27,level4,car18,zipcode6,135000,30,40516.263751,?,148,148
114719.992852,0,35,level2,car1,zipcode7,135000,6,371147.624649,?,149,149
127173.596083,0,33,level2,car5,zipcode8,135000,3,278513.526009,?,150,150
22550.373789,21300.147222,78,level3,car20,zipcode3,135000,20,358223.856118,?,151,151
41046.871178,75000,46,level2,car13,zipcode4,135000,9,261612.267525,?,152,152
124898.076421,0,41,level4,car10,zipcode9,91488.725804,12,425863.757011,?,153,153
126582.411257,0,54,level1,car8,zipcode9,72968.415535,26,230828.112586,?,154,154
102972.170193,0,51,level0,car7,zipcode3,135000,4,157549.968066,?,155,155
28104.267596,55128.964997,79,level0,car8,zipcode4,135000,12,212529.627252,?,156,156
91758.289547,0,55,level0,car5,zipcode5,135000,4,95280.303626,?,157,157
64470.535021,66023.698107,72,level0,car4,zipcode6,135000,27,72924.567317,?,158,158
70008.342696,68243.480291,44,level4,car17,zipcode3,135000,2,369048.20268,?,159,159
43081.318215,45918.913696,41,level1,car6,zipcode6,135000,19,191982.403353,?,160,160
81168.482956,0,34,level4,car10,zipcode4,135000,24,35099.85573,?,161,161
37764.297656,66877.77036,25,level1,car8,zipcode3,135000,5,284129.425739,?,162,162
150000,0,23,level4,car18,zipcode4,135000,10,500000,?,163,163
30760.746227,56503.675261,78,level3,car4,zipcode2,135000,20,224080.096003,?,164,164
115765.859465,0,71,level4,car20,zipcode7,135000,8,394825.626351,?,165,165
50168.50762,19360.931322,34,level2,car18,zipcode5,135000,21,187646.344643,?,166,166
108117.309443,0,44,level2,car9,zipcode6,135000,30,304615.645553,?,167,167
117407.261004,0,23,level1,car5,zipcode1,135000,30,302195.479341,?,168,168
47941.259103,49966.121352,24,level0,car3,zipcode8,135000,7,83615.7243,?,169,169
98186.30577,0,76,level3,car8,zipcode2,135000,2,199271.623985,?,170,170
123561.030833,0,48,level2,car19,zipcode9,133029.287994,25,76055.514822,?,171,171
85061.248767,0,32,level1,car12,zipcode7,135000,26,474664.165124,?,172,172
42224.983335,33343.626932,60,level1,car5,zipcode2,135000,27,166459.624055,?,173,173
118559.781692,0,72,level3,car3,zipcode3,135000,16,287256.549931,?,174,174
120060.686196,0,21,level1,car17,zipcode3,135000,27,241135.194582,?,175,175
62275.60136,52300.640058,49,level2,car17,zipcode9,81536.718765,22,428596.18185,?,176,176
48687.531782,58467.242321,41,level2,car2,zipcode9,123576.224479,11,201617.395285,?,177,177
124449.273526,0,76,level1,car1,zipcode6,135000,17,124080.938554,?,178,178
102587.428547,0,20,level1,car20,zipcode7,135000,2,291874.293316,?,179,179
37922.355014,65862.365627,44,level2,car10,zipcode1,135000,27,411478.21941,?,180,180
20000,51088.217635,69,level2,car14,zipcode3,135000,20,203408.692433,?,181,181
20863.037937,69387.31246,53,level4,car3,zipcode1,135000,29,91408.708298,?,182,182
97753.982633,0,48,level1,car18,zipcode2,135000,27,228509.305517,?,183,183
76230.209933,51876.616881,70,level2,car18,zipcode1,135000,20,239003.972751,?,184,184
61490.094239,50292.742561,69,level1,car19,zipcode8,135000,2,122582.229007,?,185,185
71638.611696,33310.698176,26,level1,car7,zipcode7,135000,28,173247.378891,?,186,186
119640.779346,0,33,level2,car20,zipcode4,135000,3,331233.644805,?,187,187
85002.333669,0,62,level4,car7,zipcode9,86154.728558,3,79004.520567,?,188,188
126499.072033,0,78,level4,car10,zipcode5,135000,26,477178.640798,?,189,189
78407.744553,0,23,level2,car15,zipcode4,135000,23,198359.202817,?,190,190
78825.208719,67893.245868,41,level2,car7,zipcode5,135000,13,276219.763815,?,191,191
84333.911297,0,69,level3,car17,zipcode2,135000,29,227553.510777,?,192,192
141174.420894,0,71,level3,car3,zipcode6,135000,6,248924.008532,?,193,193
36326.111985,70815.515414,57,level2,car5,zipcode5,135000,3,416774.034599,?,194,194
57481.245111,24219.358442,80,level2,car20,zipcode8,135000,3,87090.639413,?,195,195
76974.379588,0,70,level0,car17,zipcode6,135000,11,235786.54801,?,196,196
122464.614866,0,35,level4,car4,zipcode8,135000,27,474694.34113,?,197,197
115800.113828,0,30,level4,car13,zipcode1,135000,29,462889.380197,?,198,198
43973.41539,26681.01539,49,level4,car9,zipcode4,135000,23,436988.905207,?,199,199
138893.081806,0,51,level4,car4,zipcode9,57413.637884,14,247379.139093,?,200,200
136962.606026,0,74,level1,car1,zipcode9,95153.425776,26,420048.206583,?,201,201
116528.705316,0,76,level0,car12,zipcode6,135000,2,167440.0038,?,202,202
130833.000754,0,23,level2,car16,zipcode6,135000,7,29638.03906,?,203,203
103581.59068,0,77,level0,car18,zipcode7,135000,16,450230.056385,?,204,204
77603.719268,16675.830023,71,level0,car3,zipcode8,135000,2,41068.79664,?,205,205
25721.725444,75000,24,level2,car10,zipcode5,135000,16,141667.194516,?,206,206
125982.67123,0,53,level1,car2,zipcode4,135000,9,251534.683785,?,207,207
102942.102131,0,30,level3,car9,zipcode8,116484.395454,15,418543.03062,?,208,208
122105.379479,0,33,level4,car18,zipcode7,135000,11,308658.615641,?,209,209
146777.386298,0,24,level1,car14,zipcode5,135000,4,282599.760897,?,210,210
141049.486565,0,39,level4,car5,zipcode7,135000,9,27116.555344,?,211,211
126448.657393,0,61,level0,car11,zipcode6,135000,7,500000,?,212,212
58090.269173,65702.483664,62,level0,car1,zipcode9,105764.589861,12,217997.987212,?,213,213
74253.304159,40200.860032,67,level1,car18,zipcode9,96573.522088,4,50630.055147,?,214,214
137550.139639,0,42,level2,car4,zipcode3,135000,20,277726.915064,?,215,215
70768.348092,28505.02859,36,level0,car11,zipcode5,135000,3,249317.279283,?,216,216
114737.634948,0,40,level3,car14,zipcode8,135000,24,284935.919719,?,217,217
94961.681564,0,36,level1,car20,zipcode1,135000,24,56898.476983,?,218,218
40597.467191,43944.48869,20,level0,car7,zipcode6,135000,6,307315.765585,?,219,219
76354.844741,0,26,level0,car5,zipcode4,135000,15,339813.880426,?,220,220
105552.481759,0,61,level0,car1,zipcode8,135000,29,445405.444914,?,221,221
91168.862888,0,75,level0,car1,zipcode7,135000,19,318103.137563,?,222,222
80282.987524,0,68,level1,car20,zipcode8,114644.268681,14,396729.729673,?,223,223
98032.436509,0,32,level1,car10,zipcode6,135000,24,407000.272679,?,224,224
57356.599658,12568.817641,73,level4,car19,zipcode3,135000,11,228469.518788,?,225,225
45072.352153,16818.135786,77,level0,car15,zipcode5,135000,16,90572.802865,?,226,226
32004.337053,16317.418488,54,level0,car13,zipcode1,135000,26,78329.763041,?,227,227
31247.792297,49788.930314,33,level3,car5,zipcode1,135000,11,262716.466017,?,228,228
123414.450501,0,51,level0,car15,zipcode3,135000,19,126588.86783,?,229,229
102491.219755,0,60,level2,car1,zipcode2,135000,29,431329.016338,?,230,230
129922.459512,0,47,level2,car13,zipcode6,135000,10,465367.285043,?,231,231
84956.025213,0,40,level0,car2,zipcode4,135000,12,19313.863659,?,232,232
142684.768199,0,67,level4,car15,zipcode5,135000,23,389508.657032,?,233,233
88022.649512,0,33,level4,car20,zipcode2,135000,16,67203.588537,?,234,234
79307.38421,10000,41,level3,car3,zipcode9,58378.123344,18,298115.444618,?,235,235
131026.487436,0,78,level3,car2,zipcode2,135000,6,264037.60787,?,236,236
98947.96129,0,42,level3,car15,zipcode8,114723.153908,27,47600.891159,?,237,237
114155.580983,0,69,level3,car20,zipcode5,135000,29,76642.88812,?,238,238
90816.377145,0,49,level1,car17,zipcode1,135000,12,168983.501601,?,239,239
39974.658293,40998.160499,38,level1,car1,zipcode4,135000,8,411599.372034,?,240,240
92748.35104,0,23,level2,car13,zipcode7,135000,13,376689.665154,?,241,241
52381.55815,23665.92682,71,level2,car19,zipcode3,135000,20,53691.274409,?,242,242
109696.890737,0,33,level2,car19,zipcode2,135000,11,306930.813201,?,243,243
150000,0,71,level0,car20,zipcode7,135000,5,198375.723377,?,244,244
47817.841731,20096.729972,77,level4,car6,zipcode9,104484.666608,19,295701.672146,?,245,245
129804.125999,0,39,level2,car19,zipcode5,135000,10,430324.861696,?,246,246
90560.669789,0,77,level0,car19,zipcode7,135000,15,469039.022,?,247,247
60790.381343,75000,55,level0,car7,zipcode5,135000,14,417998.783515,?,248,248
51937.833074,23807.173074,50,level3,car11,zipcode8,115785.327908,22,180286.370236,?,249,249
75127.152744,0,58,level1,car6,zipcode5,135000,29,239634.234148,?,250,250
35163.887971,72024.380054,79,level0,car15,zipcode4,135000,18,134335.757423,?,251,251
71603.972987,27425.986306,52,level2,car12,zipcode2,135000,20,116490.907626,?,252,252
125684.310638,0,71,level4,car2,zipcode8,135000,7,75617.26886,?,253,253
59632.251717,35416.221195,33,level2,car13,zipcode3,135000,16,252940.281113,?,254,254
142513.900032,0,41,level0,car18,zipcode8,135000,4,98291.302367,?,255,255
104773.212177,0,46,level3,car12,zipcode1,135000,18,334005.161274,?,256,256
125359.195481,0,27,level1,car18,zipcode3,135000,6,472226.63196,?,257,257
102822.375309,0,66,level4,car5,zipcode8,135000,11,262757.030476,?,258,258
142989.935399,0,43,level2,car19,zipcode5,135000,12,375447.036398,?,259,259
109304.716452,0,61,level1,car3,zipcode9,64242.591778,4,88362.852092,?,260,260
139245.118806,0,37,level2,car5,zipcode2,135000,21,42994.188485,?,261,261
48816.168768,53332.069934,54,level0,car19,zipcode3,135000,22,344485.830421,?,262,262
125267.528483,0,36,level2,car18,zipcode1,135000,20,50457.256858,?,263,263
148913.436942,0,30,level1,car19,zipcode5,135000,21,366874.063084,?,264,264
114830.924925,0,72,level0,car20,zipcode8,135000,13,183800.490458,?,265,265
123235.810234,0,60,level1,car20,zipcode7,135000,21,500000,?,266,266
89350.370064,0,40,level4,car20,zipcode6,135000,3,32435.887929,?,267,267
142993.232676,0,36,level1,car11,zipcode2,135000,22,140425.801986,?,268,268
114758.761951,0,68,level2,car14,zipcode9,134266.698276,10,404982.111896,?,269,269
22229.854261,55873.898392,29,level4,car12,zipcode3,135000,3,437096.862934,?,270,270
141199.806727,0,51,level3,car9,zipcode3,135000,12,74644.384727,?,271,271
60916.154225,54527.552949,51,level0,car4,zipcode5,135000,9,29687.247263,?,272,272
130713.594807,0,40,level3,car12,zipcode3,135000,23,56376.685771,?,273,273
129002.920681,0,63,level3,car6,zipcode3,135000,14,425581.436625,?,274,274
60510.337346,23121.963885,70,level1,car19,zipcode4,135000,9,442853.187329,?,275,275
58602.991074,45925.218929,29,level4,car11,zipcode1,135000,21,206282.901272,?,276,276
52205.667944,44700.656607,34,level4,car14,zipcode8,135000,4,274402.445708,?,277,277
81450.617392,0,58,level2,car1,zipcode7,135000,19,131665.447853,?,278,278
72199.178208,0,31,level4,car14,zipcode6,135000,18,302651.486679,?,279,279
127786.605973,0,46,level2,car16,zipcode2,135000,22,0,?,280,280
37564.268248,53682.219511,72,level1,car11,zipcode8,135000,22,407501.074564,?,281,281
104200.843435,0,64,level0,car6,zipcode3,135000,20,196894.301795,?,282,282
80030.004394,0,22,level4,car15,zipcode9,104280.122753,12,390769.093476,?,283,283
115322.320557,0,31,level1,car10,zipcode9,128536.988694,3,241098.275377,?,284,284
71814.840432,20635.129544,67,level3,car8,zipcode5,135000,4,32092.458232,?,285,285
86877.1143,0,63,level3,car5,zipcode7,135000,30,378365.475995,?,286,286
27146.339436,52252.360039,49,level3,car20,zipcode3,135000,23,8953.972124,?,287,287
63284.714513,48381.905253,36,level1,car15,zipcode9,118479.991712,15,337130.473276,?,288,288
100933.266296,0,71,level3,car20,zipcode7,135000,8,278940.420089,?,289,289
143926.37105,0,28,level3,car20,zipcode6,135000,3,89790.064677,?,290,290
79139.620977,0,80,level4,car2,zipcode2,135000,20,13717.505505,?,291,291
90277.428983,0,80,level4,car11,zipcode9,135000,27,140418.773604,?,292,292
54118.433603,23082.519213,76,level3,car3,zipcode7,135000,20,466775.872039,?,293,293
97893.256383,0,61,level0,car10,zipcode2,135000,2,474945.81065,?,294,294
82815.543404,0,41,level0,car11,zipcode5,135000,20,500000,?,295,295
148296.650041,0,22,level1,car17,zipcode8,112825.170791,19,264466.017206,?,296,296
63049.17146,53179.565309,69,level0,car12,zipcode4,135000,30,385233.550534,?,297,297
51783.315459,45287.187398,80,level3,car12,zipcode8,135000,15,468442.513228,?,298,298
37925.728508,55297.114643,77,level2,car17,zipcode1,135000,4,242963.761266,?,299,299
116008.093296,0,34,level0,car12,zipcode8,113664.784883,29,160955.336035,?,300,300
35620.235298,50215.043095,70,level2,car19,zipcode9,49185.963928,16,26058.184588,?,301,301
62533.035388,32051.49645,64,level3,car7,zipcode4,135000,10,287363.116801,?,302,302
130105.750559,0,24,level1,car20,zipcode7,135000,17,450609.635525,?,303,303
29749.486199,14904.745449,78,level4,car15,zipcode8,135000,10,257292.245118,?,304,304
97669.107373,0,67,level0,car3,zipcode1,135000,25,206482.533243,?,305,305
93344.434086,0,23,level4,car16,zipcode4,135000,10,12468.535993,?,306,306
25493.987701,36482.083332,36,level0,car1,zipcode6,135000,28,257244.314754,?,307,307
40552.571763,10000,55,level1,car15,zipcode3,135000,4,151100.749141,?,308,308
77614.462495,0,51,level3,car14,zipcode7,135000,19,0,?,309,309
133205.72535,0,23,level0,car17,zipcode2,135000,13,156677.800444,?,310,310
68348.538645,39011.252664,64,level3,car10,zipcode1,135000,15,417646.973538,?,311,311
70906.752421,0,56,level4,car11,zipcode6,135000,8,0,?,312,312
77233.769066,35995.70215,73,level0,car18,zipcode8,135000,9,477469.486699,?,313,313
67657.810838,65996.706142,58,level1,car14,zipcode3,135000,11,45059.436654,?,314,314
143060.681843,0,30,level3,car18,zipcode8,135000,2,391695.948138,?,315,315
147937.068503,0,41,level2,car11,zipcode8,135000,3,42354.731784,?,316,316
129463.512243,0,80,level3,car14,zipcode7,135000,19,405806.274722,?,317,317
52949.162781,50161.447379,63,level0,car7,zipcode1,135000,30,442363.216167,?,318,318
78120.114864,0,54,level3,car8,zipcode4,135000,7,152523.809379,?,319,319
111189.039775,0,33,level1,car7,zipcode5,135000,16,149039.652708,?,320,320
136275.504496,0,54,level3,car14,zipcode2,135000,7,34808.201302,?,321,321
40437.220379,35383.507817,56,level1,car18,zipcode1,135000,18,162254.975699,?,322,322
63527.708209,56612.085771,41,level3,car15,zipcode1,135000,4,425826.283875,?,323,323
21126.138137,59951.683423,61,level0,car20,zipcode8,135000,29,112727.117982,?,324,324
132454.598896,0,37,level2,car4,zipcode1,135000,3,22796.547453,?,325,325
26937.443705,73411.0532,40,level1,car17,zipcode6,135000,12,297295.825553,?,326,326
90811.12599,0,42,level4,car9,zipcode4,135000,9,86454.340588,?,327,327
107455.364877,0,51,level0,car16,zipcode9,69975.512808,16,308047.231797,?,328,328
124808.522424,0,76,level0,car11,zipcode3,135000,27,323022.620957,?,329,329
